Date,Open,High,Low,Close,Adj Close,Volume
2018-05-04,1016.900024,1048.510010,1016.900024,1048.209961,1048.209961,1938700
2018-05-07,1049.229980,1061.680054,1047.099976,1054.790039,1054.790039,1466100
2018-05-08,1058.540039,1060.550049,1047.145020,1053.910034,1053.910034,1217700
2018-05-09,1058.099976,1085.439941,1056.364990,1082.760010,1082.760010,2032800
2018-05-10,1086.030029,1100.439941,1085.640015,1097.569946,1097.569946,1443000
2018-05-11,1093.599976,1101.329956,1090.910034,1098.260010,1098.260010,1253700
2018-05-14,1100.000000,1110.750000,1099.109985,1100.199951,1100.199951,1518100
2018-05-15,1090.000000,1090.050049,1073.469971,1079.229980,1079.229980,1494900
2018-05-16,1077.310059,1089.270020,1076.260010,1081.770020,1081.770020,1097300
2018-05-17,1079.890015,1086.869995,1073.500000,1078.589966,1078.589966,1043800
2018-05-18,1061.859985,1069.939941,1060.680054,1066.359985,1066.359985,1565200
2018-05-21,1074.060059,1088.000000,1073.650024,1079.579956,1079.579956,1023200
2018-05-22,1083.560059,1086.589966,1066.689941,1069.729980,1069.729980,1090000
2018-05-23,1065.130005,1080.780029,1061.709961,1079.689941,1079.689941,1030000
2018-05-24,1079.000000,1080.469971,1066.150024,1079.239990,1079.239990,766800
2018-05-25,1079.020020,1082.560059,1073.775024,1075.660034,1075.660034,899400
2018-05-29,1064.890015,1073.369995,1055.219971,1060.319946,1060.319946,1865100
2018-05-30,1063.030029,1069.209961,1056.829956,1067.800049,1067.800049,1128200
2018-05-31,1067.560059,1097.189941,1067.560059,1084.989990,1084.989990,3088300
2018-06-01,1099.349976,1120.000000,1098.500000,1119.500000,1119.500000,2412000
2018-06-04,1122.329956,1141.890015,1122.329956,1139.290039,1139.290039,1801652
